pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,pl_bmasse_refname,pl_semimajoraxis,pl_semimajoraxiserr1,pl_semimajoraxiserr2,pl_aor,pl_aorerr1,pl_aorerr2,pl_tsm,pl_tsmerr1,pl_tsmerr2
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,0.167,0.003,-0.003,0.0,7.99,0.32,-0.33,0.0,0.02514,0.00101,-0.00104,0.0,Mass,0.05,0.03,-0.03,0.0,2380.909671704785,,,,1944.2197478955181,,,,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.015463769955732232,5.821098221208722e-05,-5.76844331799109e-05,3.538596855974776,0.03912429533481143,-0.04027035793988265,255.88858969520695,33.62031383804711,-32.291063982700706
AU Mic b,AU Mic,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.4629991,2e-06,-2e-06,0.0,0.0645,0.0013,-0.0013,0.0,4.19,0.24,-0.22,0.0,,,,,20.12,1.57,-1.72,0.0,0.0633,0.00494,-0.00541,0.0,Mass,0.186,0.036,-0.035,0.0,22.824364994365357,,,,608.3581018448639,,,,1.0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,3700.0,100.0,-100.0,,0.75,0.03,-0.03,,0.5,0.03,-0.03,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,5.436,0.017,-0.017,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2022-05-09,2021-12,2022-05-09,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,0.0645844959382636,0.0011980020622471416,-0.0012772682217338238,18.46396778563627,0.9356857733756136,-0.7313936098357203,372.95649735081264,84.06498492793747,-71.33667818137008
AU Mic c,AU Mic,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,18.858991,1.6e-06,-1.6e-06,0.0,0.1101,0.002,-0.002,0.0,2.79,0.31,-0.3,0.0,,,,,9.6,2.07,-2.31,0.0,0.0302,0.00651,-0.00727,0.0,Mass,,,,,7.841632629117377,,,,465.7589867696478,,,,0.0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,3700.0,100.0,-100.0,,0.75,0.03,-0.03,,0.5,0.03,-0.03,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,5.436,0.017,-0.017,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2022-05-09,2021-12,2022-05-09,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,0.11002978293062589,0.002231185833743557,-0.0021217886427339627,31.541233990709777,1.5526096627135786,-1.291274586263679,199.48823737775365,97.82440336818786,-68.88472026920459
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.6855,0.003,-0.003,0.0,,,,,2.578,0.112,-0.112,0.0,0.23,0.01,-0.01,0.0,22.2481,9.5349,-9.5349,0.0,0.07,0.03,-0.03,0.0,Mass,0.0,,,0.0,14.906307368403597,,,,546.8927149759882,,,,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766.0,99.0,-99.0,0.0,1.08,0.06,-0.06,0.0,1.67,0.4,-0.4,0.0,-0.15,,,0.0,[Fe/H],4.5,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.770001,0.022,-0.022,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2017-03,2018-04-26,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.2794980969352503,0.019275294056473713,-0.025453323576671294,55.418929212966304,5.286071759384164,-5.402068291714876,5.1296436606369085,4.027528991980057,-1.7289007657496507
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,Hubble Space Telescope,Published Confirmed,0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,8040000.0,470000.0,-470000.0,0.0,200.0,6.0,-6.0,0.0,20.849,0.56,-0.56,0.0,1.86,0.05,-0.05,0.0,2479.06157,222.47988,-254.26273,0.0,7.8,0.7,-0.8,0.0,Mass,,,,,5.250266733521912e-08,,,,1800.0,40.0,-40.0,0.0,0.0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,M9-L1,2320.0,40.0,-40.0,0.0,0.24,0.01,-0.01,0.0,0.01,0.0,0.0,0.0,,,,,,3.85,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h27m44.23s,246.934277,-23d58m52.14s,-23.98115,,,,,,,16.775,0.176,-0.176,14.593,0.098,-0.098,,,,2021-05-17,2020-12,2021-05-17,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,168.97264898773423,6.366368054686063,-6.405066371430223,151812.65219099453,8468.074069098744,-8561.137288264115,-0.11746978697142546,0.018619345221524572,-0.020300940712786736
CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,CoRoT,Published Confirmed,0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.5089557,6.4e-06,-6.4e-06,0.0,,,,,16.7,0.9,-0.9,0.0,1.49,0.08,-0.08,0.0,327.35,38.14,-38.14,0.0,1.03,0.12,-0.12,0.0,Mass,0.0,,,0.0,2171.756384169886,,,,1898.0,50.0,-50.0,0.0,0.0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,G0 V,5950.0,150.0,-150.0,0.0,1.11,0.05,-0.05,0.0,0.95,0.15,-0.15,0.0,-0.3,0.25,-0.25,0.0,[M/H],4.25,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.623,0.114,-0.114,12.462,0.029,-0.029,12.149,0.027,-0.027,13.457,0.000477,-0.000477,2014-05-14,2008-05,2014-05-14,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,0.02540525460053066,0.0011990700272761674,-0.001556537166787119,4.8735509965571655,0.3831983871843123,-0.31724193955465996,-71.36229859241843,14.134756891756162,-16.525167752764503
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.0002,-0.0002,0.0,0.1055,0.0021,-0.0021,0.0,10.87,0.78,-0.78,0.0,0.97,0.07,-0.07,0.0,874.0,50.85,-50.85,0.0,2.75,0.16,-0.16,0.0,Mass,0.53,0.04,-0.04,0.0,33.600299874455935,,,,600.0,23.0,-23.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,K1 V,5075.0,75.0,-75.0,0.0,0.79,0.05,-0.05,0.0,0.89,0.05,-0.05,0.0,0.26,0.07,-0.07,0.0,[Fe/H],4.65,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,15.293,0.137,-0.137,12.527,0.025,-0.025,11.782,0.021,-0.021,14.6645,0.000329,-0.000329,2014-05-14,2010-09,2014-05-14,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,0.10541035531883966,0.002012732589732405,-0.0019696935499905893,28.703777095368338,1.9433507315267597,-1.805603078965735,-4.900861506321323,1.0131107373652481,-1.3229962465195966
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,1.1e-05,-1.1e-05,0.0,0.0436,0.005,-0.005,0.0,16.03,0.34,-0.34,0.0,1.43,0.03,-0.03,0.0,740.51,108.06,-108.06,0.0,2.33,0.34,-0.34,0.0,Mass,0.0,,,0.0,1500.3672791319248,,,,1657.0,55.0,-55.0,0.0,0.0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,120.0,-120.0,0.0,1.37,0.03,-0.03,0.0,1.27,0.05,-0.05,0.0,-0.03,0.08,-0.08,0.0,[Fe/H],4.22,0.23,-0.23,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.897,0.114,-0.114,11.589,0.021,-0.021,11.248,0.022,-0.022,12.841,0.000336,-0.000336,2014-05-14,2010-12,2014-05-14,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,0.04403690042815703,0.0005427187994163363,-0.0005562525763682102,6.908923467367218,0.16987732682523138,-0.1680598681961296,-24.817290318478427,3.486839032523765,-4.520949934730911
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,2.828042,1.3e-05,-1.3e-05,0.0,0.04016,0.00093,-0.00092,0.0,16.14,1.46,-1.46,0.0,1.44,0.13,-0.13,0.0,291.438,22.247,-20.658,0.0,0.917,0.07,-0.065,0.0,Mass,0.07,0.063,-0.042,0.0,726.9717617663765,,,,1442.0,58.0,-58.0,0.0,0.0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675.0,80.0,-80.0,0.0,1.12,0.1,-0.09,0.0,1.08,0.08,-0.07,0.0,0.16,0.1,-0.1,0.0,[Fe/H],4.38,0.07,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.588,0.183,-0.183,14.024,0.032,-0.032,13.557,0.042,-0.042,15.3453,0.00077,-0.00077,2014-05-14,2010-09,2014-05-14,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,0.04015918677607738,0.0008667592032924193,-0.0009930094760336808,7.669860990375695,0.739971488434608,-0.6669209429131975,-26.003010189091988,7.403785039280553,-9.150241648328645
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519,3e-05,-3e-05,0.0,0.051,0.0031,-0.0031,0.0,9.92,0.157,-0.157,0.0,0.885,0.014,-0.014,0.0,415.704,20.976,-20.976,0.0,1.308,0.066,-0.066,0.0,Mass,0.0,,,0.0,440.51653013592494,,,,1700.0,,,0.0,0.0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945.0,90.0,-90.0,0.0,1.01,0.03,-0.03,0.0,1.09,0.02,-0.02,0.0,0.01,0.07,-0.07,0.0,[Fe/H],4.46,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,15.005,0.297,-0.297,13.71,0.024,-0.024,13.376,0.039,-0.039,14.9147,0.0005,-0.0005,2014-05-14,2010-11,2014-05-14,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,0.051048720305164885,0.0003308799258000608,-0.0003110423480163979,10.897911344810314,0.3163365744183775,-0.34114960865776034,6.100060114570532,0.5659540139069597,-0.48726762907577115
