Target,Event,Mode,TSM,ESM,pl_orbper,pl_rade,pl_Teq
55Cnce,Eclipse,NIRCAM.GRISMR+F444W,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
55Cnce,Eclipse,MIRI.LRS,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
55Cnce,Eclipse,NIRCAM.GRISMR+F444W,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
55Cnce,Eclipse,NIRCAM.GRISMR+F444W,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
55Cnce,Eclipse,NIRCAM.GRISMR+F444W,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
55Cnce,Eclipse,NIRCAM.GRISMR+F444W,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
55Cnce,Eclipse,NIRCAM.GRISMR+F444W,216.884212411506,66.99877035657,0.7365445,1.897,1958.0
GJ1132b,Eclipse,MIRI.LRS,28.0477434249528,6.93301476743567,1.628931,1.13,529.0
GJ1132b,Transit,NIRSPEC.BOTS+G395H,28.0477434249528,6.93301476743567,1.628931,1.13,529.0
GJ1132b,Transit,NIRSPEC.BOTS+G395H,28.0477434249528,6.93301476743567,1.628931,1.13,529.0
GJ1132b,Transit,NIRSPEC.BOTS+G395M,28.0477434249528,6.93301476743567,1.628931,1.13,529.0
GJ1214b,Transit,NIRSPEC.BOTS+G395H,481.406411556711,53.7517743551736,1.58040454,2.742,595.113249734004
GJ1214b,Transit,NIRSPEC.BOTS+G395H,481.406411556711,53.7517743551736,1.58040454,2.742,595.113249734004
GJ1214b,PhaseC,MIRI.LRS,481.406411556711,53.7517743551736,1.58040454,2.742,595.113249734004
GJ3090b,Transit,NIRISS.SOSS,217.214811626511,13.2115166631289,2.853136,2.13,693.0
GJ3090b,Transit,NIRISS.SOSS,217.214811626511,13.2115166631289,2.853136,2.13,693.0
GJ3090b,Transit,NIRSPEC.BOTS+G395H,217.214811626511,13.2115166631289,2.853136,2.13,693.0
GJ3090b,Transit,NIRSPEC.BOTS+G395H,217.214811626511,13.2115166631289,2.853136,2.13,693.0
GJ3470b,Transit,NIRCAM.GRISMR+F322W2,276.45035142065,25.6180604805492,3.336649,3.88,615.0
GJ3470b,Transit,NIRCAM.GRISMR+F444W,276.45035142065,25.6180604805492,3.336649,3.88,615.0
GJ3470b,Transit,NIRSPEC.BOTS+G395H,276.45035142065,25.6180604805492,3.336649,3.88,615.0
GJ3473b,Eclipse,MIRI.F1500W,14.58707729408,6.87477885367944,1.1980035,1.264,771.776245271732
GJ3473b,Eclipse,MIRI.F1500W,14.58707729408,6.87477885367944,1.1980035,1.264,771.776245271732
GJ3473b,Eclipse,MIRI.F1500W,14.58707729408,6.87477885367944,1.1980035,1.264,771.776245271732
GJ3473b,Eclipse,MIRI.F1500W,14.58707729408,6.87477885367944,1.1980035,1.264,771.776245271732
GJ357b,Transit,NIRISS.SOSS,28.746641356544,6.33716901732923,3.93072,1.217,523.766155812154
GJ357b,Transit,NIRSPEC.BOTS+G395H,28.746641356544,6.33716901732923,3.93072,1.217,523.766155812154
GJ357b,Eclipse,MIRI.F1500W,28.746641356544,6.33716901732923,3.93072,1.217,523.766155812154
GJ367b,Transit,MIRI.LRS,50.0972698653833,25.871042224415,0.321962,0.718,1745.0
GJ436b,Eclipse,MIRI.LRS,538.877501909332,120.555286449952,2.64389751,4.191,686.0
